trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.3, 'e': 0.38867957090175304}",20,9,19.496090863517384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.38289288597511206}",35,10,14.630891495470824,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.37719235356315695}",25,8,17.615541913125615,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.3715766910220457}",20,13,13.058146551909896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.3660446348040154}",25,10,-7.847529718877446,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.3605949401730783}",20,13,0.5566554505512245,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.3552263809249515}",20,8,18.381949457954367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.3499377491111553}",20,9,20.550893224031157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.3447278547672202}",25,1,22.579387479486776,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.3395955256449391}",25,14,12.106951321460215,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.3345396069486076}",20,13,10.8243574350431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.3295589610751891}",20,0,24.168234186429714,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.32465246735834974}",25,2,-45.32354601247407,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
76,False,"{'a': 0.3, 'e': 0.31981902181630395}",20,0,2.0061125348153253,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.3, 'e': 0.3150575369034133}",25,15,-3.5497947565255545,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.31036694126548503}",35,17,-7.070470173497396,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.30574617949871175}",35,1,-41.383216315158045,"{0: 29, 1: 2, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.3, 'e': 0.30119421191220214}",25,15,5.31017635154755,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.2967100142940453}",20,9,9.116346997209241,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.2922925776808594}",20,5,28.372709327911018,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
